Horario	Tarif	Posto_Hor	Ativo	Reativo	FP	Dema(kW)	En.Ativa(kwh)	R.Exc(kvarh)	Tarfifa(R$)	Valor(R$)
2022-08-30 13:59:17	I	ForaPONT	7	0	100	6	1.47	0	0.25	0.37
2022-08-30 13:44:16	I	ForaPONT	7	0	100	6	1.47	0	0.25	0.37
2022-08-30 13:29:16	I	ForaPONT	7	0	100	6	1.47	0	0.25	0.37
2022-08-30 13:14:16	I	ForaPONT	8	0	100	7	1.68	0	0.25	0.42
2022-08-30 12:59:16	I	ForaPONT	7	0	100	6	1.47	0	0.25	0.37
2022-08-30 12:44:17	I	ForaPONT	7	0	100	6	1.47	0	0.25	0.37
2022-08-30 12:29:17	I	ForaPONT	8	0	100	7	1.68	0	0.25	0.42
2022-08-30 11:59:18	I	ForaPONT	7	0	100	6	1.47	0	0.25	0.37
2022-08-30 11:44:17	I	ForaPONT	8	0	100	7	1.68	0	0.25	0.42
2022-08-30 11:29:17	I	ForaPONT	7	0	100	6	1.47	0	0.25	0.37
2022-08-30 11:14:16	I	ForaPONT	8	0	100	7	1.68	0	0.25	0.42
2022-08-30 10:59:16	I	ForaPONT	8	0	100	7	1.68	0	0.25	0.42
2022-08-30 10:44:16	I	ForaPONT	7	0	100	6	1.47	0	0.25	0.37
2022-08-30 10:32:43	C	0	0	0	0	0	0	0	0.25	0
2022-08-30 10:29:16	I	ForaPONT	8	0	100	7	1.68	0	0.25	0.42
2022-08-30 10:14:17	I	ForaPONT	9	0	100	8	1.89	0	0.25	0.47
2022-08-30 09:59:17	I	ForaPONT	8	0	100	7	1.68	0	0.25	0.42
2022-08-30 09:44:16	I	ForaPONT	7	0	100	6	1.47	0	0.25	0.37
2022-08-30 09:29:16	I	ForaPONT	8	0	100	7	1.68	0	0.25	0.42
2022-08-30 09:14:16	I	ForaPONT	8	0	100	7	1.68	0	0.25	0.42
2022-08-30 08:59:16	I	ForaPONT	7	0	100	6	1.47	0	0.25	0.37
2022-08-30 08:44:16	I	ForaPONT	11	0	100	9	2.31	0	0.25	0.58
2022-08-30 08:29:16	I	ForaPONT	26	2	99	22	5.46	0	0.25	1.37
2022-08-30 08:14:16	I	ForaPONT	36	10	96	30	7.56	0	0.25	1.89
2022-08-30 07:59:18	I	ForaPONT	41	15	93	34	8.61	0	0.25	2.15
2022-08-30 07:44:16	I	ForaPONT	43	16	93	36	9.03	0	0.25	2.26
2022-08-30 07:29:16	I	ForaPONT	42	11	96	35	8.82	0	0.25	2.21
2022-08-30 07:14:17	I	ForaPONT	41	9	97	34	8.61	0	0.25	2.15
2022-08-30 06:59:16	I	ForaPONT	43	15	94	36	9.03	0	0.25	2.26
2022-08-30 06:44:16	I	ForaPONT	42	14	94	35	8.82	0	0.25	2.21
2022-08-30 06:29:17	C	ForaPONT	42	0	100	35	8.82	0	0.25	2.21
2022-08-30 06:14:16	C	ForaPONT	42	0	100	35	8.82	0	0.25	2.21
2022-08-30 05:59:16	C	Reservad	47	0	100	39	9.87	0	0.027	0.27
2022-08-30 05:44:16	C	Reservad	102	0	100	86	21.42	0	0.027	0.58
2022-08-30 05:29:17	C	Reservad	126	0	100	106	26.46	0	0.027	0.71
2022-08-30 05:14:17	C	Reservad	133	0	100	112	27.93	0	0.027	0.75
2022-08-30 04:59:17	C	Reservad	135	0	100	113	28.35	0	0.027	0.77
2022-08-30 04:44:17	C	Reservad	140	0	100	118	29.4	0	0.027	0.79
2022-08-30 04:29:17	C	Reservad	141	0	100	118	29.61	0	0.027	0.8
2022-08-30 04:14:16	C	Reservad	140	0	100	118	29.4	0	0.027	0.79
2022-08-30 03:59:16	C	Reservad	140	0	100	118	29.4	0	0.027	0.79
2022-08-30 03:44:18	C	Reservad	169	0	100	142	35.49	0	0.027	0.96
2022-08-30 03:29:16	C	Reservad	202	0	100	170	42.42	0	0.027	1.15
2022-08-30 03:14:16	C	Reservad	203	0	100	171	42.63	0	0.027	1.15
2022-08-30 02:59:17	C	Reservad	203	0	100	171	42.63	0	0.027	1.15
2022-08-30 02:44:16	C	Reservad	204	0	100	171	42.84	0	0.027	1.16
2022-08-30 02:29:16	C	Reservad	204	0	100	171	42.84	0	0.027	1.16
2022-08-30 02:14:16	C	Reservad	232	0	100	195	48.72	0	0.027	1.32
2022-08-30 01:59:16	C	Reservad	265	0	100	223	55.65	0	0.027	1.5
2022-08-30 01:44:16	C	Reservad	264	0	100	222	55.44	0	0.027	1.5
2022-08-30 01:29:16	C	Reservad	265	0	100	223	55.65	0	0.027	1.5
2022-08-30 01:14:17	C	Reservad	266	0	100	223	55.86	0	0.027	1.51
2022-08-30 00:59:17	C	Reservad	265	0	100	223	55.65	0	0.027	1.5
2022-08-30 00:44:16	C	Reservad	266	0	100	223	55.86	0	0.027	1.51
2022-08-30 00:29:16	I	Reservad	265	64	97	223	55.65	0	0.027	1.5
2022-08-30 00:14:16	I	Reservad	265	64	97	223	55.65	0	0.027	1.5
